No,Wisata,Kategori,Lokasi,Tarif,Rating,Experience
516,Pantai Sedahan,Bahari,Yogyakarta,10000,4.5,Camping
631,Kiara Artha Park,Taman Hiburan,Bandung,50000,4.4,Edukasi
957,Taman Ekspresi Dan Perpustakaan,Taman Hiburan,Surabaya,15000,4.5,Relaksasi
980,Monumen Tugu Pahlawan,Budaya,Surabaya,0,4.7,Edukasi
546,GunungTangkuban perahu,Cagar Alam,Bandung,25000,4.5,Aktivitas Air
104,Istana Negara Republik Indonesia,Budaya,Jakarta,0,4.6,Relaksasi
819,Desa Wisata Lembah Kalipancur,Taman Hiburan,Semarang,10000,3.9,Relaksasi
807,Chingu Cafe Little Seoul,Taman Hiburan,Bandung,20000,4.5,Fotografi
410,Pasar Kebon Empring Bintaran,Pusat Perbelanjaan,Yogyakarta,10000,4.4,Relaksasi
307,Alun-alun Utara Keraton Yogyakarta,Budaya,Yogyakarta,50000,4.6,Kuliner
854,Wisata Alam Wana Wisata Penggaron,Cagar Alam,Semarang,15000,4.1,Fotografi
323,Watu Lumbung,Cagar Alam,Yogyakarta,10000,4.3,Relaksasi
58,Museum Wayang,Budaya,Jakarta,20000,4.5,Edukasi
997,Patung Buddha Empat Rupa,Budaya,Surabaya,0,4.3,Spiritualitas
815,Lawang Sewu,Budaya,Semarang,10000,4.6,Relaksasi
130,Museum Joang 45,Budaya,Jakarta,10000,4.0,Fotografi
753,Perkebunan Teh Malabar,Cagar Alam,Bandung,35000,4.4,Edukasi
360,Seribu Batu Songgo Langit,Cagar Alam,Yogyakarta,50000,4.6,Kuliner
606,Gua Belanda,Cagar Alam,Bandung,10000,4.4,Fotografi
665,Gereja Katedral Santo Petrus Bandung,Tempat Ibadah,Bandung,0,4.8,Spiritualitas
348,Puncak Gunung Api Purba - Nglanggeran,Cagar Alam,Yogyakarta,100000,4.7,Camping
84,Wisata Alam Mangrove Angke,Cagar Alam,Jakarta,0,4.3,Relaksasi
729,Museum Nike Ardilla,Budaya,Bandung,20000,4.6,Fotografi
761,The Lodge Maribaya,Cagar Alam,Bandung,10000,4.3,Fotografi
952,Surabaya North Quay,Taman Hiburan,Surabaya,50000,4.4,Adrenalin
870,Waduk Jatibarang,Cagar Alam,Semarang,2500,4.3,Relaksasi
867,Pantai Maron,Bahari,Semarang,20000,3.4,Relaksasi
735,Gunung Lalakon,Cagar Alam,Bandung,50000,4.8,Camping
652,Monumen Bandung Lautan Api,Budaya,Bandung,0,4.3,Fotografi
340,Wisata Alam Kalibiru,Cagar Alam,Yogyakarta,25000,4.4,Relaksasi
782,Bukit Jamur,Cagar Alam,Bandung,0,4.2,Relaksasi
684,Curug Bugbrug,Cagar Alam,Bandung,5000,4.3,Fotografi
335,Kawasan Wisata Sosrowijayan,Pusat Perbelanjaan,Yogyakarta,100000,4.0,Belanja
857,Taman Bunga Celosia,Cagar Alam,Semarang,25000,4.3,Relaksasi
684,Curug Bugbrug,Cagar Alam,Bandung,5000,4.3,Fotografi
233,Desa Wisata Sungai Code Jogja Kota,Taman Hiburan,Yogyakarta,100000,5.0,Seni
921,Durian Gardens and Tourism Education Watu Simbar,Cagar Alam,Semarang,10000,4.1,Fotografi
458,Goa Pindul,Cagar Alam,Yogyakarta,100000,4.5,Aktivitas Air
170,Museum Layang-layang,Budaya,Jakarta,200000,4.5,Seni
716,Curug Aseupan,Cagar Alam,Bandung,15000,4.7,Fotografi
565,Kawah Putih,Cagar Alam,Bandung,40000,4.5,Hiking
590,Museum Sri Baduga,Budaya,Bandung,5000,4.5,Fotografi
335,Kawasan Wisata Sosrowijayan,Pusat Perbelanjaan,Yogyakarta,100000,4.0,Belanja
265,Embung Tambakboyo,Taman Hiburan,Yogyakarta,0,4.4,Relaksasi
315,Gumuk Pasir Parangkusumo,Taman Hiburan,Yogyakarta,0,4.5,Relaksasi
784,Kebun Tanaman Obat Sari Alam,Cagar Alam,Bandung,0,4.9,Relaksasi
496,Pantai Drini,Bahari,Yogyakarta,50000,4.5,Kuliner
372,Goa Cerme,Cagar Alam,Yogyakarta,20000,4.4,Adrenalin
315,Gumuk Pasir Parangkusumo,Taman Hiburan,Yogyakarta,0,4.5,Relaksasi
802,Rainbow Garden,Cagar Alam,Bandung,20000,4.6,Relaksasi
666,Gereja Katedral Santo Petrus Bandung,Tempat Ibadah,Bandung,0,4.8,Edukasi
509,Pantai Ngrenehan,Bahari,Yogyakarta,100000,4.4,Kuliner
69,Pasar Tanah Abang,Pusat Perbelanjaan,Jakarta,200000,4.0,Belanja
743,Masjid Pusdai,Tempat Ibadah,Bandung,3000,4.7,Fotografi
338,Grojogan Watu Purbo Bangunrejo,Taman Hiburan,Yogyakarta,15000,4.5,Adrenalin
567,Tebing Karaton,Cagar Alam,Bandung,25000,4.5,Relaksasi
991,Pantai Ria Kenjeran,Bahari,Surabaya,20000,4.2,Relaksasi
654,Museum Gedung Sate,Budaya,Bandung,5000,4.6,Fotografi
262,Kawasan Malioboro,Taman Hiburan,Yogyakarta,100000,4.8,Kuliner
403,Pantai Pok Tunggal,Bahari,Yogyakarta,20000,4.5,Aktivitas Air
40,Pulau Pelangi,Bahari,Jakarta,150000,4.8,Aktivitas Air
38,Pulau Pramuka,Bahari,Jakarta,50000,4.2,Relaksasi
214,Keraton Yogyakarta,Budaya,Yogyakarta,100000,4.6,Belanja
492,Pantai Samas,Bahari,Yogyakarta,100000,4.0,Camping
784,Kebun Tanaman Obat Sari Alam,Cagar Alam,Bandung,0,4.9,Relaksasi
78,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,100000,4.5,Edukasi
130,Museum Joang 45,Budaya,Jakarta,10000,4.0,Fotografi
772,Curug Cimahi,Cagar Alam,Bandung,15000,4.6,Relaksasi
975,Keraton Surabaya,Budaya,Surabaya,20000,4.4,Seni
89,Setu Babakan,Budaya,Jakarta,50000,4.4,Aktivitas Air
747,Situ Cileunca,Cagar Alam,Bandung,0,4.4,Fotografi
1,Monumen Nasional,Budaya,Jakarta,15000,4.6,Edukasi
375,Goa Cerme,Cagar Alam,Yogyakarta,20000,4.4,Piknik
963,Ciputra Waterpark,Taman Hiburan,Surabaya,100000,4.3,Aktivitas Air
692,Peta Park,Taman Hiburan,Bandung,5000,4.3,Relaksasi
775,Situ Patenggang,Cagar Alam,Bandung,10000,4.5,Fotografi
447,Pasar Beringharjo,Pusat Perbelanjaan,Yogyakarta,200000,4.5,Belanja
184,Waterboom PIK (Pantai Indah Kapuk),Taman Hiburan,Jakarta,150000,4.4,Adrenalin
123,Taman Situ Lembang,Taman Hiburan,Jakarta,50000,4.5,Kuliner
63,Gereja Katedral,Tempat Ibadah,Jakarta,0,4.8,Spiritualitas
6,Kota Tua,Budaya,Jakarta,0,4.6,Relaksasi
334,Kawasan Wisata Sosrowijayan,Pusat Perbelanjaan,Yogyakarta,0,4.0,Relaksasi
456,Pantai Parangtritis,Bahari,Yogyakarta,20000,4.5,Hiking
113,The Escape Hunt,Taman Hiburan,Jakarta,250000,4.4,Adrenalin
554,Trans Studio Bandung,Taman Hiburan,Bandung,100000,4.5,Kuliner
429,Geoforest Watu Payung Turunan,Cagar Alam,Yogyakarta,30000,4.5,Camping
929,Air Mancur Menari,Taman Hiburan,Surabaya,35000,4.4,Adrenalin
1011,Taman Bungkul,Taman Hiburan,Surabaya,0,4.6,Relaksasi
170,Museum Layang-layang,Budaya,Jakarta,200000,4.5,Seni
164,Museum Kebangkitan Nasional,Budaya,Jakarta,5000,4.7,Fotografi
273,Bukit Bintang Yogyakarta,Taman Hiburan,Yogyakarta,15000,4.5,Relaksasi
797,Bukit Gantole Cililin,Cagar Alam,Bandung,10000,4.4,Fotografi
92,Taman Suropati,Taman Hiburan,Jakarta,50000,4.6,Kuliner
905,Kampoeng Kopi Banaran,Taman Hiburan,Semarang,50000,4.3,Relaksasi
935,Monumen Kapal Selam,Budaya,Surabaya,5000,4.4,Fotografi
340,Wisata Alam Kalibiru,Cagar Alam,Yogyakarta,25000,4.4,Relaksasi
36,Pulau Pari,Bahari,Jakarta,150000,4.0,Kuliner
708,Taman Sejarah Bandung,Budaya,Bandung,0,4.6,Fotografi
506,Pantai Jogan,Bahari,Yogyakarta,15000,4.4,Relaksasi
140,Rumah Sipitung,Budaya,Jakarta,0,4.5,Relaksasi
573,Museum Geologi Bandung,Budaya,Bandung,0,4.6,Fotografi
116,Monumen Selamat Datang,Budaya,Jakarta,0,4.7,Fotografi
956,Taman Ekspresi Dan Perpustakaan,Taman Hiburan,Surabaya,0,4.5,Adrenalin
829,Kampoeng Djadhoel Semarang,Budaya,Semarang,5000,4.7,Relaksasi
685,Babakan Siliwangi City Forest Path Bandung,Cagar Alam,Bandung,0,4.6,Relaksasi
597,The Great Asia Africa,Taman Hiburan,Bandung,60000,4.4,Edukasi
48,Museum Fatahillah,Budaya,Jakarta,10000,4.4,Edukasi
187,Museum Perangko,Budaya,Jakarta,20000,4.4,
472,Jogja Bay Pirates Adventure Waterpark,Taman Hiburan,Yogyakarta,50000,4.4,Relaksasi
575,Museum Konferensi Asia Afrika,Budaya,Bandung,0,4.6,Fotografi
94,Pasar Taman Puring,Pusat Perbelanjaan,Jakarta,50000,4.4,Kuliner
981,Monumen Tugu Pahlawan,Budaya,Surabaya,0,4.7,Fotografi
27,Pelabuhan Marina,Bahari,Jakarta,150000,4.4,Kuliner
388,Pantai Kukup,Bahari,Yogyakarta,10000,4.0,Relaksasi
821,Hutan Wisata Tinjomoyo Semarang,Cagar Alam,Semarang,0,4.3,Fotografi
465,Pantai Sundak,Bahari,Yogyakarta,10000,4.5,Aktivitas Air
156,Museum Sumpah Pemuda,Budaya,Jakarta,10000,4.7,Seni
679,Taman Vanda,Taman Hiburan,Bandung,0,4.3,Adrenalin
462,Pantai Depok Jogja,Bahari,Yogyakarta,10000,4.3,Relaksasi
565,Kawah Putih,Cagar Alam,Bandung,40000,4.5,Hiking
900,Masjid Agung Ungaran,Tempat Ibadah,Semarang,0,4.7,Spiritualitas
233,Desa Wisata Sungai Code Jogja Kota,Taman Hiburan,Yogyakarta,100000,5.0,Seni
686,Babakan Siliwangi City Forest Path Bandung,Cagar Alam,Bandung,0,4.6,Fotografi
218,Museum Benteng Vredeburg Yogyakarta,Budaya,Yogyakarta,5000,4.6,Fotografi
50,Museum Bank Indonesia,Budaya,Jakarta,10000,4.7,Edukasi
40,Pulau Pelangi,Bahari,Jakarta,150000,4.8,Aktivitas Air
112,Museum Seni Rupa dan Kramik,Budaya,Jakarta,300000,4.4,Seni
86,Wisata Alam Mangrove Angke,Cagar Alam,Jakarta,100000,4.3,Aktivitas Air
524,Pantai Ngandong,Bahari,Yogyakarta,10000,4.5,Relaksasi
594,Stone Garden Citatah,Taman Hiburan,Bandung,30000,4.4,Adrenalin
916,Watu Gunung Ungaran,Cagar Alam,Semarang,25000,4.4,Relaksasi
178,Freedom Library,Budaya,Jakarta,0,5.0,Fotografi
614,Lembang Park & Zoo,Cagar Alam,Bandung,75000,4.5,Edukasi
12,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,300000,4.5,Belanja
110,Museum Bahari Jakarta,Budaya,Jakarta,10000,4.4,Fotografi
250,Kampung Wisata Sosro Menduran,Budaya,Yogyakarta,150000,4.0,Seni
225,Situs Warungboto,Taman Hiburan,Yogyakarta,30000,4.4,Kuliner
957,Taman Ekspresi Dan Perpustakaan,Taman Hiburan,Surabaya,15000,4.5,Relaksasi
619,Curug Dago,Cagar Alam,Bandung,12000,4.0,Relaksasi
688,Curug Cipanas,Cagar Alam,Bandung,10000,3.9,Fotografi
981,Monumen Tugu Pahlawan,Budaya,Surabaya,0,4.7,Fotografi
438,Candi Ijo,Budaya,Yogyakarta,20000,4.6,Edukasi
242,Taman Pelangi Yogyakarta,Taman Hiburan,Yogyakarta,30000,4.3,Adrenalin
722,Curug Anom,Cagar Alam,Bandung,0,4.6,Relaksasi
406,Hutan Pinus Asri,Cagar Alam,Yogyakarta,10000,4.5,Hiking
164,Museum Kebangkitan Nasional,Budaya,Jakarta,5000,4.7,Fotografi
71,Pecinan Glodok,Pusat Perbelanjaan,Jakarta,0,4.3,Relaksasi
126,Taman Ismail Marzuki,Budaya,Jakarta,200000,4.6,Kuliner
930,Air Mancur Menari,Taman Hiburan,Surabaya,45000,4.4,Aktivitas Air
844,GPIB Immanuel Semarang (Gereja Blenduk),Tempat Ibadah,Semarang,0,4.6,Edukasi
469,Hutan Mangrove Kulon Progo,Bahari,Yogyakarta,10000,4.1,Relaksasi
156,Museum Sumpah Pemuda,Budaya,Jakarta,10000,4.7,Seni
669,Caringin Tilu,Cagar Alam,Bandung,0,4.4,Relaksasi
779,Pemandian Air Panas Cimanggu,Cagar Alam,Bandung,40000,3.9,Aktivitas Air
462,Pantai Depok Jogja,Bahari,Yogyakarta,10000,4.3,Relaksasi
687,Curug Cipanas,Cagar Alam,Bandung,20000,3.9,Relaksasi
151,Taman Lapangan Banteng,Taman Hiburan,Jakarta,100000,4.7,Seni
1011,Taman Bungkul,Taman Hiburan,Surabaya,0,4.6,Relaksasi
66,Museum Nasional,Budaya,Jakarta,20000,4.6,Edukasi
303,Kauman Pakualaman Yogyakarta,Budaya,Yogyakarta,20000,5.0,Relaksasi
213,Keraton Yogyakarta,Budaya,Yogyakarta,25000,4.6,Edukasi
489,Pantai Nguluran,Bahari,Yogyakarta,100000,4.1,Aktivitas Air
789,Saung Angklung Mang Udjo,Budaya,Bandung,15000,4.7,Fotografi
221,Kampung Wisata Taman Sari,Taman Hiburan,Yogyakarta,15000,4.6,Aktivitas Air
430,Pantai Timang,Bahari,Yogyakarta,50000,4.7,Adrenalin
439,Candi Ijo,Budaya,Yogyakarta,20000,4.6,Fotografi
93,Pasar Taman Puring,Pusat Perbelanjaan,Jakarta,300000,4.4,Belanja
790,Taman Kupu-Kupu Cihanjuang,Cagar Alam,Bandung,10000,4.0,Relaksasi
285,The World Landmarks - Merapi Park Yogyakarta,Taman Hiburan,Yogyakarta,10000,4.2,Relaksasi
548,Jalan Braga,Budaya,Bandung,80000,4.7,Kuliner
681,Taman Budaya Jawa Barat,Budaya,Bandung,0,4.3,Edukasi
610,Panghegar Waterboom Bandung,Taman Hiburan,Bandung,100000,4.3,Aktivitas Air
953,Surabaya North Quay,Taman Hiburan,Surabaya,10000,4.4,Relaksasi
942,Hutan Bambu Keputih,Cagar Alam,Surabaya,0,4.3,Relaksasi
416,Kampung Wisata Dipowinatan,Budaya,Yogyakarta,30000,4.5,Bertani
163,Museum Kebangkitan Nasional,Budaya,Jakarta,10000,4.7,Edukasi
609,Panghegar Waterboom Bandung,Taman Hiburan,Bandung,75000,4.3,Adrenalin
252,Monumen Batik Yogyakarta,Budaya,Yogyakarta,200000,4.5,Seni
564,Kawah Putih,Cagar Alam,Bandung,40000,4.5,Adrenalin
238,Alun Alun Selatan Yogyakarta,Taman Hiburan,Yogyakarta,15000,4.6,Adrenalin
566,Kawah Putih,Cagar Alam,Bandung,50000,4.5,Camping
217,Museum Benteng Vredeburg Yogyakarta,Budaya,Yogyakarta,10000,4.6,Edukasi
842,Old City 3D Trick Art Museum,Budaya,Semarang,30000,4.4,Fotografi
586,Alun-Alun Kota Bandung,Taman Hiburan,Bandung,0,4.6,Adrenalin
773,Curug Cimahi,Cagar Alam,Bandung,10000,4.6,Fotografi
626,Jendela Alam,Taman Hiburan,Bandung,20000,4.4,Adrenalin
675,Bumi Perkemahan Batu Kuda,Cagar Alam,Bandung,7500,4.5,Relaksasi
431,Pantai Timang,Bahari,Yogyakarta,10000,4.7,Relaksasi
998,Monumen Bambu Runcing Surabaya,Budaya,Surabaya,0,4.6,Edukasi
1013,Taman Air Mancur Menari Kenjeran,Taman Hiburan,Surabaya,10000,4.4,Relaksasi
267,Hutan Pinus Pengger,Taman Hiburan,Yogyakarta,0,4.5,Relaksasi
11,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,70000,4.5,Edukasi
231,Sumur Gumuling,Taman Hiburan,Yogyakarta,30000,4.5,Edukasi
85,Wisata Alam Mangrove Angke,Cagar Alam,Jakarta,30000,4.3,Edukasi
663,Curug Batu Templek,Cagar Alam,Bandung,5000,4.1,Relaksasi
310,Pantai Goa Cemara,Bahari,Yogyakarta,50000,4.3,Kuliner
898,Goa Rong,Cagar Alam,Semarang,5000,4.3,Relaksasi
445,Pantai Nglambor,Bahari,Yogyakarta,100000,4.4,Kuliner
968,Museum TNI AL Loka Jala Crana,Budaya,Surabaya,2000,4.5,Edukasi
43,Pasar Seni,Pusat Perbelanjaan,Jakarta,500000,4.4,Belanja
807,Chingu Cafe Little Seoul,Taman Hiburan,Bandung,20000,4.5,Fotografi
168,Museum Basoeki Abdullah,Budaya,Jakarta,10000,4.5,Relaksasi
208,Alive Museum Ancol,Taman Hiburan,Jakarta,10000,4.3,Relaksasi
71,Pecinan Glodok,Pusat Perbelanjaan,Jakarta,0,4.3,Relaksasi
641,Kampoeng Tulip,Taman Hiburan,Bandung,10000,3.8,Fotografi
609,Panghegar Waterboom Bandung,Taman Hiburan,Bandung,75000,4.3,Adrenalin
278,The Lost World Castle,Taman Hiburan,Yogyakarta,15000,4.3,Fotografi
471,Jogja Bay Pirates Adventure Waterpark,Taman Hiburan,Yogyakarta,100000,4.4,Aktivitas Air
602,Gunung Papandayan,Cagar Alam,Bandung,100000,4.6,Camping
152,Taman Ayodya,Taman Hiburan,Jakarta,50000,4.4,Piknik
837,Wisata Mangrove Tapak,Cagar Alam,Semarang,15000,4.3,Fotografi
77,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,50000,4.5,Adrenalin
773,Curug Cimahi,Cagar Alam,Bandung,10000,4.6,Fotografi
515,Pantai Sedahan,Bahari,Yogyakarta,5000,4.5,Hiking
742,Masjid Pusdai,Tempat Ibadah,Bandung,0,4.7,Spiritualitas
976,Klenteng Sanggar Agung,Budaya,Surabaya,10000,4.5,Edukasi
563,Kebun Binatang Bandung,Cagar Alam,Bandung,100000,4.0,Belanja
896,Jembatan Biru Ambarawa,Taman Hiburan,Semarang,0,4.2,Adrenalin
582,Orchid Forest Cikole,Taman Hiburan,Bandung,60000,4.6,Relaksasi
872,Tirto Argo Siwarak,Taman Hiburan,Semarang,20000,4.4,Adrenalin
167,Museum Basoeki Abdullah,Budaya,Jakarta,20000,4.6,Edukasi
832,Taman Pandanaran,Taman Hiburan,Semarang,0,4.4,Adrenalin
762,Taman Hutan Raya Ir. H. Juanda,Cagar Alam,Bandung,11000,4.5,Relaksasi
166,Museum Sasmita Loka Ahmad Yani,Budaya,Jakarta,5000,4.7,Relaksasi
728,Museum Nike Ardilla,Budaya,Bandung,0,4.6,Edukasi
384,Pantai Patihan,Bahari,Yogyakarta,60000,4.1,Kuliner
963,Ciputra Waterpark,Taman Hiburan,Surabaya,100000,4.3,Aktivitas Air
604,Amazing Art World,Budaya,Bandung,50000,4.5,Fotografi
720,Water Park Bandung Indah,Taman Hiburan,Bandung,100000,4.0,Aktivitas Air
750,Sungai Palayangan,Cagar Alam,Bandung,150000,4.6,Relaksasi
147,Pantai Ancol,Bahari,Jakarta,50000,4.4,Relaksasi
502,Pantai Wediombo,Bahari,Yogyakarta,15000,4.5,Aktivitas Air
704,Jembatan Pasupati,Taman Hiburan,Bandung,0,4.6,Fotografi
726,Taman Film,Budaya,Bandung,0,4.3,Edukasi
916,Watu Gunung Ungaran,Cagar Alam,Semarang,25000,4.4,Relaksasi
800,Kyotoku Floating Market,Budaya,Bandung,175000,4.5,Edukasi
475,Pantai Sepanjang,Bahari,Yogyakarta,50000,4.4,Kuliner
934,Monumen Kapal Selam,Budaya,Surabaya,15000,4.4,Edukasi
260,Kawasan Malioboro,Taman Hiburan,Yogyakarta,0,4.8,Relaksasi
142,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,0,4.2,Relaksasi
572,Museum Geologi Bandung,Budaya,Bandung,2000,4.6,Edukasi
751,Sungai Palayangan,Cagar Alam,Bandung,5000,4.6,Fotografi
557,Taman Hutan Raya Ir. H. Djuanda,Cagar Alam,Bandung,100000,4.5,Belanja
113,The Escape Hunt,Taman Hiburan,Jakarta,250000,4.4,Adrenalin
353,Bunker Kaliadem Merapi,Cagar Alam,Yogyakarta,15000,4.5,Edukasi
1017,Taman Flora Bratang Surabaya,Taman Hiburan,Surabaya,15000,4.6,Relaksasi
573,Museum Geologi Bandung,Budaya,Bandung,0,4.6,Fotografi
34,Pulau Pari,Bahari,Jakarta,150000,4.0,Aktivitas Air
909,Kampung Tematik Jawi,Budaya,Semarang,5000,4.5,Relaksasi
125,Taman Ismail Marzuki,Budaya,Jakarta,200000,4.6,Edukasi
852,Saloka Theme Park,Taman Hiburan,Semarang,75000,4.4,Relaksasi
891,Kota Lama Semarang,Budaya,Semarang,5000,4.7,Relaksasi
117,Jakarta Aquarium dan Safari,Taman Hiburan,Jakarta,250000,4.6,Adrenalin
893,Semarang Chinatown,Budaya,Semarang,30000,4.5,Fotografi
437,Candi Borobudur,Budaya,Yogyakarta,100000,4.7,Relaksasi
784,Kebun Tanaman Obat Sari Alam,Cagar Alam,Bandung,0,4.9,Relaksasi
338,Grojogan Watu Purbo Bangunrejo,Taman Hiburan,Yogyakarta,15000,4.5,Adrenalin
993,Waterpark Kenjeran Surabaya,Taman Hiburan,Surabaya,50000,4.1,Relaksasi
112,Museum Seni Rupa dan Kramik,Budaya,Jakarta,300000,4.4,Seni
826,Pantai Marina,Bahari,Semarang,3000,4.1,Aktivitas Air
456,Pantai Parangtritis,Bahari,Yogyakarta,20000,4.5,Hiking
501,Candi Sewu,Budaya,Yogyakarta,20000,4.6,Relaksasi
268,Hutan Pinus Pengger,Taman Hiburan,Yogyakarta,0,4.5,Camping
637,Pesona Nirwana Waterpark & Cottages,Taman Hiburan,Bandung,100000,4.1,Aktivitas Air
421,Green Village Gedangsari,Taman Hiburan,Yogyakarta,15000,4.2,Hiking
962,Ciputra Waterpark,Taman Hiburan,Surabaya,95000,4.3,Adrenalin
303,Kauman Pakualaman Yogyakarta,Budaya,Yogyakarta,20000,5.0,Relaksasi
247,Taman Budaya Yogyakarta,Budaya,Yogyakarta,25000,4.5,Edukasi
606,Gua Belanda,Cagar Alam,Bandung,10000,4.4,Fotografi
413,"Bukit Paralayang, Watugupit",Cagar Alam,Yogyakarta,10000,4.7,Hiking
832,Taman Pandanaran,Taman Hiburan,Semarang,0,4.4,Adrenalin
961,Rumah Batik,Budaya,Surabaya,0,4.5,Fotografi
50,Museum Bank Indonesia,Budaya,Jakarta,10000,4.7,Edukasi
746,Situ Cileunca,Cagar Alam,Bandung,2500,4.4,Relaksasi
523,Pantai Ngandong,Bahari,Yogyakarta,50000,4.5,Kuliner
149,Taman Lapangan Banteng,Taman Hiburan,Jakarta,0,4.7,Olahraga
1005,Taman Hiburan Rakyat,Taman Hiburan,Surabaya,15000,4.2,Relaksasi
33,Pulau Bidadari,Bahari,Jakarta,500000,4.6,Fotografi
578,Dago Dreampark,Taman Hiburan,Bandung,40000,4.2,Adrenalin
545,Pantai Congot,Bahari,Yogyakarta,3000,4.3,Edukasi
885,Gua Maria Kerep Ambarawa,Cagar Alam,Semarang,0,4.8,Spiritualitas
891,Kota Lama Semarang,Budaya,Semarang,5000,4.7,Relaksasi
461,Candi Ratu Boko,Budaya,Yogyakarta,40000,4.6,Edukasi
870,Waduk Jatibarang,Cagar Alam,Semarang,2500,4.3,Relaksasi
982,Surabaya Museum (Gedung Siola),Budaya,Surabaya,0,4.5,Edukasi
951,Kenjeran Park,Taman Hiburan,Surabaya,15000,4.2,Relaksasi
100,Bumi Perkemahan Cibubur,Taman Hiburan,Jakarta,250000,4.5,Camping
443,Pantai Indrayanti,Bahari,Yogyakarta,20000,4.5,Relaksasi
515,Pantai Sedahan,Bahari,Yogyakarta,5000,4.5,Hiking
56,Museum Taman Prasasti,Budaya,Jakarta,20000,4.5,Fotografi
337,Grojogan Watu Purbo Bangunrejo,Taman Hiburan,Yogyakarta,15000,4.5,Relaksasi
368,Bentara Budaya Yogyakarta (BBY),Budaya,Yogyakarta,20000,4.5,Relaksasi
983,Surabaya Museum (Gedung Siola),Budaya,Surabaya,2000,4.5,Relaksasi
469,Hutan Mangrove Kulon Progo,Bahari,Yogyakarta,10000,4.1,Relaksasi
671,Panama Park 825,Taman Hiburan,Bandung,50000,4.4,Adrenalin
375,Goa Cerme,Cagar Alam,Yogyakarta,20000,4.4,Piknik
469,Hutan Mangrove Kulon Progo,Bahari,Yogyakarta,10000,4.1,Relaksasi
953,Surabaya North Quay,Taman Hiburan,Surabaya,10000,4.4,Relaksasi
367,Bentara Budaya Yogyakarta (BBY),Budaya,Yogyakarta,25000,4.5,Seni
621,Kampung Korea Bandung,Budaya,Bandung,15000,4.1,Edukasi
453,Museum Gunung Merapi,Budaya,Yogyakarta,20000,4.4,Relaksasi
767,Tafso Barn,Cagar Alam,Bandung,10000,4.2,Fotografi
684,Curug Bugbrug,Cagar Alam,Bandung,5000,4.3,Fotografi
307,Alun-alun Utara Keraton Yogyakarta,Budaya,Yogyakarta,50000,4.6,Kuliner
960,Rumah Batik,Budaya,Surabaya,0,4.5,Edukasi
736,Sendang Geulis Kahuripan,Cagar Alam,Bandung,10000,4.3,Relaksasi
713,Masjid Salman ITB,Tempat Ibadah,Bandung,0,4.8,Spiritualitas
4,Kota Tua,Budaya,jakarta,100000,4.6,Kuliner
430,Pantai Timang,Bahari,Yogyakarta,50000,4.7,Adrenalin
560,Farm House Susu Lembang,Taman Hiburan,Bandung,100000,4.4,Belanja
952,Surabaya North Quay,Taman Hiburan,Surabaya,50000,4.4,Adrenalin
681,Taman Budaya Jawa Barat,Budaya,Bandung,0,4.3,Edukasi
961,Rumah Batik,Budaya,Surabaya,0,4.5,Fotografi
381,Desa Wisata Kelor,Taman Hiburan,Yogyakarta,50000,4.4,Hiking
206,Museum Satria Mandala,Budaya,Jakarta,5000,4.5,Fotografi
874,Wisata Lereng Kelir,Cagar Alam,Semarang,7000,4.3,Relaksasi
581,Orchid Forest Cikole,Taman Hiburan,Bandung,25000,4.6,Fotografi
684,Curug Bugbrug,Cagar Alam,Bandung,5000,4.3,Fotografi
431,Pantai Timang,Bahari,Yogyakarta,10000,4.7,Relaksasi
68,Pasar Tanah Abang,Pusat Perbelanjaan,Jakarta,0,4.0,Relaksasi
555,Trans Studio Bandung,Taman Hiburan,Bandung,1000000,4.5,Belanja
12,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,300000,4.5,Belanja
1018,Gereja Perawan Maria Tak Berdosa Surabaya,Tempat Ibadah,Surabaya,10000,4.8,Spiritualitas
888,Hutan Pinus Kayon,Cagar Alam,Semarang,6000,4.4,Relaksasi
810,Grand Maerakaca,Taman Hiburan,Semarang,15000,4.4,Adrenalin
328,Air Terjun Kedung Pedut,Cagar Alam,Yogyakarta,50000,4.5,Kuliner
258,Candi Donotirto,Budaya,Yogyakarta,0,4.4,Edukasi
597,The Great Asia Africa,Taman Hiburan,Bandung,60000,4.4,Edukasi
551,Gedung Sate,Budaya,Bandung,20000,4.6,Edukasi
594,Stone Garden Citatah,Taman Hiburan,Bandung,30000,4.4,Adrenalin
41,Pulau Pelangi,Bahari,Jakarta,50000,4.8,Relaksasi
976,Klenteng Sanggar Agung,Budaya,Surabaya,10000,4.5,Edukasi
654,Museum Gedung Sate,Budaya,Bandung,5000,4.6,Fotografi
42,Pulau Pelangi,Bahari,Jakarta,150000,4.8,Kuliner
763,Taman Hutan Raya Ir. H. Juanda,Cagar Alam,Bandung,10000,4.5,Fotografi
470,Hutan Mangrove Kulon Progo,Bahari,Yogyakarta,50000,4.1,Kuliner
144,Klenteng Jin De Yuan,Tempat Ibadah,Jakarta,0,4.5,Spiritualitas
